# T48 SPI catalog generated from T48SDK/T48_List.txt
Device	Manufacturer	RawId	SizeBytes	PageSize	Volts	Protocol	CommandSet	Type	Supported
BY25FQ128ESF	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ESQ	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ESS	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128EST	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ESW	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128GSE	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128GSQ	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128GSS	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128GST	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128GSW	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128GSZ	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELE	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELH	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELM	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELN	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELO	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELQ	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELS	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELT	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELU	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELW	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESE	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESH	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESM	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESN	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESO	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESQ	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESS	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16EST	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESU	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESW	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ELE	BOYA_MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ELF	BOYA_MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ELS	BOYA_MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ELW	BOYA_MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ESE	BOYA_MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ESF	BOYA_MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ESS	BOYA_MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ESW	BOYA_MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ELH	BOYA_MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ELQ	BOYA_MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ELS	BOYA_MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ELT	BOYA_MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ELU	BOYA_MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ELW	BOYA_MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ESH	BOYA_MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ESQ	BOYA_MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
